제목,내용,카테고리,접수일시,processed_content
전북 전주시 공원 관리가 제대로 되지 않고 있습니다,전북 전주시 공원 관리가 제대로 되지 않고 있습니다. 시민 참여 방안을 마련해 주세요.,환경,2025-08-29,전북 전주시 공원 관리가 제대로 되지 않고 시민 참여 방안을 마련해
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 소득 기준을 현실화해야 합니다.,복지,2025-08-30,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 소득 기준을 현실화해야
출퇴근 시간 울산 남구 버스 배차 간격이 너무 깁니다,출퇴근 시간 울산 남구 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2025-08-30,출퇴근 시간 울산 남구 버스 배차 간격이 너무 사고 위험이 높아지고
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-08-30,대중교통 환승 시스템 개선이 긴급한 대책 마련이
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2025-08-31,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
경기 용인시 지역 미세먼지 대책을 강화해 주세요,경기 용인시 지역 미세먼지 대책을 강화해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-09-01,경기 용인시 지역 미세먼지 대책을 강화해 시민 참여 방안을 마련해
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 주민 건강이 위협받고 있습니다.,환경,2025-09-01,재활용 분리수거 시스템 개선이 주민 건강이 위협받고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 주민 건강이 위협받고 있습니다.,환경,2025-09-02,생활 소음 규제를 강화해야 주민 건강이 위협받고
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 소득 기준을 현실화해야 합니다.,복지,2025-09-04,노인 복지 서비스 확대가 소득 기준을 현실화해야
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2025-09-04,재활용 분리수거 시스템 개선이 체계적인 관리가
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 소득 기준을 현실화해야 합니다.,복지,2025-09-05,보육료 지원이 실제 필요한 가정에 제대로 전달되지 소득 기준을 현실화해야
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,2025-09-05,공공시설 안전 점검을 철저히 예방 대책을 마련해
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,2025-09-06,공공시설 안전 점검을 철저히 예방 대책을 마련해
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,2025-09-06,의료비 지원 대상자 선정 기준을 완화해 지역별 격차가
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 예산 확대가 시급합니다.,환경,2025-09-07,재활용 분리수거 시스템 개선이 예산 확대가
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 주민 불안감이 증가하고 있습니다.,안전,2025-09-07,가로등이 고장난 주민 불안감이 증가하고
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-09-09,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 지역별 격차가 심각합니다.,복지,2025-09-10,보육료 지원이 실제 필요한 가정에 제대로 전달되지 지역별 격차가
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-09-12,대중교통 환승 시스템 개선이 긴급한 대책 마련이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-09-12,도시 녹지 공간을 확대해 시민 참여 방안을 마련해
서울 강북구 지역에 CCTV 설치를 요청합니다,서울 강북구 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,2025-09-17,서울 강북구 지역에 설치를 예방 대책을 마련해
출퇴근 시간 서울 강남구 버스 배차 간격이 너무 깁니다,출퇴근 시간 서울 강남구 버스 배차 간격이 너무 깁니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-09-17,출퇴근 시간 서울 강남구 버스 배차 간격이 너무 시민들의 불편이 가중되고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 주민 건강이 위협받고 있습니다.,환경,2025-09-17,생활 소음 규제를 강화해야 주민 건강이 위협받고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 시민 참여 방안을 마련해 주세요.,환경,2025-09-18,생활 소음 규제를 강화해야 시민 참여 방안을 마련해
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 주민 불안감이 증가하고 있습니다.,안전,2025-09-19,공공시설 안전 점검을 철저히 주민 불안감이 증가하고
강원 춘천시 공원 관리가 제대로 되지 않고 있습니다,강원 춘천시 공원 관리가 제대로 되지 않고 있습니다. 체계적인 관리가 필요합니다.,환경,2025-09-20,강원 춘천시 공원 관리가 제대로 되지 않고 체계적인 관리가
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 사고 예방이 시급합니다.,안전,2025-09-20,어린이 보호구역 안전시설을 강화해 사고 예방이
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 지역별 격차가 심각합니다.,복지,2025-09-20,보육료 지원이 실제 필요한 가정에 제대로 전달되지 지역별 격차가
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 정기적인 점검이 필요합니다.,안전,2025-09-21,재난 대응 시스템 개선이 정기적인 점검이
출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다. 긴급한 대책 마련이 필요합니다.,교통,2025-09-21,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 긴급한 대책 마련이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 예산 확대가 시급합니다.,환경,2025-09-21,도시 녹지 공간을 확대해 예산 확대가
전남 여수시 도로 포장 상태가 매우 불량합니다,전남 여수시 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-09-22,전남 여수시 도로 포장 상태가 매우 장기적인 계획 수립을
충북 청주시 지역 신호등 체계 개선이 필요합니다,충북 청주시 지역 신호등 체계 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-09-23,충북 청주시 지역 신호등 체계 개선이 경제적 손실이 발생하고
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-09-24,도시 녹지 공간을 확대해 시민 참여 방안을 마련해
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 접근성을 개선해 주세요.,행정,2025-09-24,행정 정보 공개를 확대해 접근성을 개선해
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-09-27,서류 발급 절차를 간소화해 업무 효율성을 높여야
